simulation,direct_pct,indirect_pct,total_direct_hrs,total_indirect_hrs
294,78.60234637529794,21.39765362470206,220715.3886218366,60084.61137816339
295,78.61594544966624,21.384054550333758,220753.5748226628,60046.42517733719
296,79.10203975281217,20.897960247187825,222118.52762589662,58681.472374103396
297,80.00936371396163,19.990636286038367,224666.29330880428,56133.70669119573
298,80.82609730510963,19.173902694890373,226959.68123274783,53840.31876725218
299,80.4023190687332,19.597680931266794,225769.71194500284,55030.288054997145
300,78.94927265311827,21.05072734688173,221689.5576099561,59110.4423900439
301,80.54590527056568,19.454094729434317,226172.90199974843,54627.098000251564
302,80.68215680874596,19.317843191254042,226555.49631895864,54244.50368104138
303,77.59105436437218,22.408945635627816,217875.68065515708,62924.31934484291
